dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.5886/66f3rsta	68829f71-56b1-4015-a363-ef8f0e1d6e4f	OAC-BIO Herbarium	OAC-Herbarium, Biodiversity Institute of Ontario from University of Guelph. http://dx.doi.org/10.5886/66f3rsta (accessed on [date])	19
10.15468/yagaln	86b91ba1-4b24-447d-b11c-834edfca6d31	Jardin Botanique de Lyon		3
10.15468/ai1kou	e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5	UCR - University of California, Riverside Herbarium - Vascular Plants		36
10.15468/gyvkrn	cb9beff3-a185-486f-975a-732251444158	Herbarium specimens of Université de Montpellier 2, Institut de Botanique (MPU))		68
10.15468/5wcerp	e4fd8292-95cb-4f49-a639-e59c89e82045	Central Siberian Botanical Garden Herbarium (NS, NSK)	Kovtonyuk N, Han I, Gatilova E (2020): Central Siberian Botanical Garden Herbarium (NS, NSK). v1.5. Central Siberian Botanical Garden SB RAS. Dataset/Occurrence. http://www.csbg.nsc.ru:8080/ipt/resource?r=csbg2020&v=1.5	1
10.15468/wrthhx	b740eaa0-0679-41dc-acb7-990d562dfa37	Meise Botanic Garden Herbarium (BR)	Meise Botanic Garden (2022) Meise Botanic Garden Herbarium (BR). v1. Dataset/Occurrence. http://apm-ipt.br.fgov.be:8080/ipt/resource?r=botanical_collection	155
10.15468/3nyx9k	85a347c0-f762-11e1-a439-00145eb45e9a	Nordic Genetic Resources	Nordic Genetic Resource Center (NORDGEN). Nordic Genetic Resources. Occurrence dataset.  https://doi.org/10.15468/3nyx9k accessed via GBIF.org on [yyyy-mm-dd]	3
10.15468/57f7n4	ea233ece-c4fb-4fb8-bf98-f16235c4144c	Naturalis Biodiversity Center (NL) - Paleontology		4
10.15468/ypoair	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	Royal Botanic Garden Edinburgh Herbarium (E)	Royal Botanic Garden Edinburgh. (2022) Preserved Collections Database (E)	33
10.15468/8arhjc	ee0e7875-8fbc-4cd8-a6a8-65f4a871e2ea	University of Jena, Herbarium Haussknecht - Herbarium JE		5
10.15468/63vxjd	27b4ff4b-29c3-4017-9c48-3750861392f7	University of North Carolina at Chapel Hill Herbarium: Vascular Plants		31
10.15468/oc5zh7	e08f0546-0224-4b0d-886d-4ab05f0c87e6	Herbarium specimens of CBNA (GAP)		3
10.5886/3p8ltbg7	2fd02649-fc08-4957-9ac5-2830e072c097	Herbier Louis-Marie (QFA) - Collection de plantes vasculaires	Herbier Louis-Marie (QFA) from Université Laval. http://dx.doi.org/10.5886/3p8ltbg7 (accessed on [date]).	4
10.15468/342g8j	859445c2-f762-11e1-a439-00145eb45e9a	Water Colours of Fungi by Konrad Schieferdecker at the Botanische Staatssammlung München	Triebel, Dagmar (2020). Water Colours of Fungi by Konrad Schieferdecker at the Botanische Staatssammlung München. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.botanischestaatssammlung.de/DatabaseClients/BSMschiefcoll/About.cfm.	3
10.15468/mug7kr	834c9918-f762-11e1-a439-00145eb45e9a	CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA)	Colección de Plantas Vasculares del Real Jardín Botánico-CSIC	5
10.15468/m3x9uu	6b5e4c2d-127f-492e-bf1c-2026d515e0de	Estonian University of Life Sciences Institute of Agricultural and Environmental Sciences Vascular Plant Herbarium		131
10.15468/tnj8wm	0afba960-be3b-4202-a7de-736ae05aec9e	University of Vienna, Institute for Botany - Herbarium WU	"All the help and manifold efforts by persons and organisations who inspired and promoted the ongoing project of the digitization of botanical specimens ""DigiBotA"" is herewith gratefully acknowledged."	3
10.15468/bquqpv	5c3dbe27-ca42-4beb-8263-d16e7d238c4d	Estonian Museum of Natural History Department of Botany		37
10.15468/on4axg	c267909d-184f-4138-9e67-a074d478d52b	DAV - UC Davis Herbarium		3
10.15468/fy8dsi	db9e34bd-e647-46bd-9f9d-ffee56a5d3c4	Eastern Kentucky University, Ronald L. Jones Herbarium		4
10.15468/tjvqci	064508e2-255e-4d82-9f13-05d73476cc03	United Herbaria of the University and ETH Zurich	Nyffeler R, Guggisberg A (2022). United Herbaria of the University and ETH Zurich. Version 1.468. United Herbaria of the University and ETH Zurich (Z+ZT). Occurrence dataset https://doi.org/10.15468/tjvqci accessed via GBIF.org on 2022-09-05.	47
10.15468/lmznjw	646858f7-8620-4124-9405-279539aec76c	Herbarium specimens of Société des Sciences Naturelles et Mathématiques de Cherbourg (CHE)		8
10.5519/0002965	7e380070-f762-11e1-a439-00145eb45e9a	Natural History Museum (London) Collection Specimens	Natural History Museum (2015): Collection specimens https://data.nhm.ac.uk.	25
10.15468/nrcdx7	3dedd874-1c74-487c-9fb3-48dcaf922bab	SFV - California State University, Northridge		1
10.15468/w6f6aa	cca05dd0-9f88-4d0a-b90a-d3f8f3a3f367	University of Arkansas at Monticello		2
10.15468/ca08cm	5788c83a-0e0a-42c1-8fcd-3b27ce7a672a	TUL Herbarium: Tula Oblast collections of vascular plants	Svetasheva T, Seregin A (2019): TUL Herbarium: Tula Oblast collections of vascular plants. v1.139. Tula State Lev Tolstoy Pedagogical University. Dataset/Occurrence. https://depo.msu.ru/ipt/resource?r=tula&v=1.139	5
10.15468/ubisgd	aec988c9-b308-4758-9eb0-1ecf93749998	Muséum d'histoire naturelle de Nîmes	Rouilly A (2021): Muséum d'histoire naturelle de Nîmes. v1.9. RECOLNAT. Dataset/Occurrence. https://ipt-uat.recolnat.org/resource?r=museum_nimes&v=1.9	4
10.15468/yt9puc	a72bff04-3312-4654-9d91-5a25f536cd29	Collection contest		4
10.15468/g4gcrg	c7da3dcb-2b70-4995-918d-2da6e87ff662	Herbarium of Numto Nature Park	Pasechnyuk E (2022): Herbarium of Numto Nature Park. v1.4. Natural park «Numto». Dataset/Occurrence. http://ipt.ugrasu.ru:8080/resource?r=numto-herbarium&v=1.4	1
10.15468/qdatdf	f1c0241b-6c64-414e-914f-ebaf764b3d9b	MVSC; The James C. Parks Herbarium at Millersville University	Hardy C (2021). MVSC; The James C. Parks Herbarium at Millersville University. Millersville University James C. Parks Herbarium. Occurrence dataset https://doi.org/10.15468/qdatdf accessed via GBIF.org on 2022-06-02.	23
10.15468/ctqpb5	265a1266-6e01-459e-9d1a-3127c9b222ed	Staten Island Museum		12
10.15468/7dr3yg	fb38c6b0-6daf-4d84-97a5-43e5b0f6cbaa	"Herbarium of the State Nature Reserve ""Tigireksky"" (TIGZ)"	"Vaganov A (2022): Herbarium of the State Nature Reserve ""Tigireksky"" (TIGZ). v1.4. Altai State University. Dataset/Occurrence. http://altb.asu.ru"	1
10.15468/rs5upd	c6b86c40-ff71-4e5e-902c-111f400d0d56	India Biodiversity Portal publication grade dataset		4
10.15468/bmk3ab	f1c4df18-12d6-40cb-ab51-5bb0d7f08d6e	Estonian Naturalists’ Society		31
10.15468/weknsr	648e3756-5dff-462b-9323-41e3214d9c3c	University of Georgia Herbarium		15
10.15468/5nret6	8fc84858-fd52-498a-b035-4a160bc8be1f	TULGU Herbarium: Tula Oblast collections of vascular plants	Volkova E, Seregin A (2021): TULGU Herbarium: Tula Oblast collections of vascular plants. v1.1. Tula State university. Dataset/Occurrence. https://depo.msu.ru/ipt/resource?r=tulgu&v=1.1	9
10.15468/zdcclb	8591ecaa-f762-11e1-a439-00145eb45e9a	The Myxomycetes Collections at the Botanische Staatssammlung München - Main Collection	Triebel, Dagmar (2020). The Myxomycetes Collections at the Botanische Staatssammlung München - Main Collection. [Dataset].  Version: 20201113. Data Publisher: Staatliche Naturwissenschaftliche Sammlungen Bayerns – SNSB IT Center, München. http://www.botanischestaatssammlung.de/DatabaseClients/BSMmyxcoll/About.cfm.	1
